               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.018951,             0.01165,            0.015398,             0.39496,             0.77038,              0.4301,             0.35015,            0.016286,           0.0070079,            0.088757,            0.005248,            0.005248,            0.005248
                  38,            0.018065,            0.011877,            0.015216,             0.42279,             0.86556,             0.42784,              0.3532,            0.015984,           0.0068433,            0.077628,            0.005116,            0.005116,            0.005116
                  39,             0.01793,            0.012019,            0.015062,             0.42221,             0.87044,             0.42571,             0.34899,            0.015981,           0.0065348,            0.080185,            0.004984,            0.004984,            0.004984
                  40,            0.017602,            0.012001,            0.014611,             0.39776,             0.74422,             0.42389,             0.34921,            0.015506,            0.006684,            0.098932,            0.004852,            0.004852,            0.004852
                  41,            0.016805,            0.011749,            0.013959,             0.38384,             0.72572,             0.41021,             0.34031,             0.01528,           0.0067956,            0.096716,             0.00472,             0.00472,             0.00472
                  42,            0.017468,            0.011752,            0.013586,             0.36874,             0.65599,             0.42116,             0.34769,            0.015284,           0.0068347,             0.10315,            0.004588,            0.004588,            0.004588
                  43,            0.016456,            0.011182,            0.014489,             0.39432,             0.73094,             0.41944,             0.35136,            0.015056,           0.0067422,            0.092798,            0.004456,            0.004456,            0.004456
                  44,            0.016591,            0.011127,            0.014356,               0.388,             0.77189,             0.40051,             0.33289,            0.014615,           0.0065249,             0.09631,            0.004324,            0.004324,            0.004324
                  45,            0.016533,            0.011653,             0.01352,             0.38659,             0.69711,             0.42554,             0.35506,            0.014857,           0.0066782,             0.10128,            0.004192,            0.004192,            0.004192
                  46,            0.016662,            0.011197,            0.013401,             0.39078,             0.72416,             0.42582,             0.36103,            0.014343,           0.0066009,            0.095367,             0.00406,             0.00406,             0.00406
                  47,            0.015613,            0.011242,            0.013427,             0.38811,             0.73489,             0.42042,             0.35484,            0.014546,            0.006729,            0.087018,            0.003928,            0.003928,            0.003928
                  48,            0.016063,            0.010908,            0.014052,             0.37408,             0.69604,             0.40373,             0.33939,            0.014868,           0.0064614,            0.089343,            0.003796,            0.003796,            0.003796
                  49,            0.016479,            0.011568,            0.012567,             0.37281,              0.6618,             0.40853,              0.3471,            0.014962,           0.0064889,            0.093228,            0.003664,            0.003664,            0.003664
                  50,            0.016105,            0.011181,            0.012862,             0.35072,             0.63533,             0.40042,              0.3395,            0.014765,           0.0065971,             0.10051,            0.003532,            0.003532,            0.003532
                  51,            0.015507,            0.010437,            0.013132,             0.38279,             0.70556,             0.42277,             0.36165,            0.013786,           0.0063228,            0.090842,              0.0034,              0.0034,              0.0034
                  52,            0.015441,            0.010799,            0.012296,             0.36143,              0.6393,             0.39842,               0.336,            0.014314,           0.0063726,             0.10492,            0.003268,            0.003268,            0.003268
                  53,            0.015146,            0.010733,            0.012302,             0.38316,             0.68309,             0.42109,             0.36135,            0.014374,           0.0061951,            0.092035,            0.003136,            0.003136,            0.003136
                  54,            0.015898,            0.011137,            0.013403,              0.3888,             0.69379,             0.42997,             0.36604,            0.014105,           0.0063637,            0.083182,            0.003004,            0.003004,            0.003004
                  55,            0.015058,            0.010503,            0.012609,             0.36282,             0.63169,             0.40944,             0.34561,             0.01393,           0.0061807,            0.094772,            0.002872,            0.002872,            0.002872
                  56,            0.014667,            0.010335,            0.011825,             0.39736,             0.73885,             0.43297,             0.37459,            0.013826,           0.0061556,            0.093068,             0.00274,             0.00274,             0.00274
                  57,            0.015168,            0.010502,             0.01137,             0.39406,             0.78306,             0.41308,             0.35628,            0.013879,           0.0063626,             0.11362,            0.002608,            0.002608,            0.002608
                  58,            0.015405,            0.010159,            0.012112,             0.35406,             0.60919,             0.40618,             0.34554,            0.013766,           0.0062938,             0.11138,            0.002476,            0.002476,            0.002476
                  59,            0.014276,            0.010054,            0.011547,             0.38447,             0.72176,             0.41825,             0.36229,            0.013182,           0.0060875,             0.10651,            0.002344,            0.002344,            0.002344
                  60,            0.014678,           0.0099795,            0.011032,             0.35799,             0.62897,             0.41229,             0.35703,            0.013262,           0.0061365,             0.10111,            0.002212,            0.002212,            0.002212
                  61,            0.014664,            0.010339,            0.011027,             0.35311,             0.60031,             0.39797,             0.33918,            0.013289,           0.0061642,             0.11134,             0.00208,             0.00208,             0.00208
                  62,            0.014885,           0.0099995,            0.011502,             0.37243,             0.67822,             0.40829,             0.34983,            0.013932,           0.0061374,            0.097797,            0.001948,            0.001948,            0.001948
                  63,            0.014197,            0.010209,            0.011989,             0.40622,             0.87522,             0.40789,             0.34987,             0.01301,             0.00586,             0.10277,            0.001816,            0.001816,            0.001816
                  64,            0.014243,           0.0099159,            0.011084,             0.27174,             0.99444,             0.40317,             0.34924,            0.012708,           0.0058473,             0.11841,            0.001684,            0.001684,            0.001684
                  65,            0.014198,            0.010003,            0.010222,             0.27619,             0.99444,             0.38677,             0.33767,            0.012857,           0.0058304,             0.11998,            0.001552,            0.001552,            0.001552
                  66,             0.01411,           0.0099264,            0.010733,             0.27666,                   1,             0.39266,             0.34017,            0.013356,           0.0058551,             0.12579,             0.00142,             0.00142,             0.00142
                  67,            0.013918,           0.0097413,           0.0099859,             0.27955,             0.99444,             0.38924,             0.34418,            0.012879,           0.0058013,             0.12638,            0.001288,            0.001288,            0.001288
                  68,            0.013871,           0.0097536,           0.0095012,             0.27527,             0.99444,             0.39285,             0.33998,            0.012826,           0.0058752,              0.1272,            0.001156,            0.001156,            0.001156
                  69,            0.013944,           0.0098067,           0.0099155,              0.2845,             0.99444,              0.4013,             0.35019,            0.012927,           0.0058669,             0.12708,            0.001024,            0.001024,            0.001024
                  70,            0.013887,           0.0095262,           0.0094956,             0.28142,             0.99444,             0.39643,             0.34857,             0.01301,           0.0058283,             0.12532,            0.000892,            0.000892,            0.000892
                  71,            0.013805,           0.0095437,           0.0088731,             0.28748,             0.98889,               0.388,             0.34236,            0.012911,            0.005855,             0.13546,             0.00076,             0.00076,             0.00076
                  72,            0.013312,           0.0094397,            0.008855,             0.29188,             0.98333,             0.38931,             0.34235,            0.012516,           0.0056623,             0.13442,            0.000628,            0.000628,            0.000628
                  73,            0.013012,            0.009367,           0.0094386,             0.28726,             0.98889,             0.38343,             0.33746,            0.012372,           0.0056495,             0.12386,            0.000496,            0.000496,            0.000496
                  74,            0.012935,            0.009548,           0.0094597,             0.28486,             0.99444,             0.37831,             0.33464,            0.012299,           0.0057111,             0.13149,            0.000364,            0.000364,            0.000364
